Time[min];Temperature[°C];Reference Temperature[°C];Power[W];Power Heater[W];Power Coil[W];Observer state Temperature[°C];Observer state Power[W];Observer state Ambient temperature[°C]
0.03;17;25;0;0;0;15;0;22
0.19;16.8;25;0;0;0;15;0;22
0.36;16.7;25;2000;0;0;15.02175;0.108;22
0.53;16.8;25;2000;0;2000;16.2051655355661;104.113725135948;22
0.69;17.2;25;2000;0;2000;16.7492553133251;198.770321530652;22
0.86;17.6;25;2000;0;2000;17.1620116089962;280.457761660609;22
1.03;18;25;2000;0;2000;17.5824017330993;368.691562021942;22
1.19;18.3;25;2000;0;2000;17.9821122828804;452.433586198987;22
1.36;18.7;25;2000;0;2000;18.3917387005792;532.996466316317;22
1.53;19.1;25;2000;0;2000;18.7803294403926;609.478953815044;22
1.69;19.4;25;2000;0;2000;19.127217149045;676.558526291441;22
1.86;19.8;25;2000;0;2000;19.5128233720146;749.167499346364;22
2.03;20.2;25;2000;0;2000;19.8894766267032;817.349305117821;22
2.19;20.6;25;1994;0;2000;20.27405711091;882.971335437167;22
2.36;20.9;25;1974;0;2000;20.6622731182817;945.930135073439;22
2.53;21.3;25;1950;69.2;1904.8;21.0535366014421;1005.21135036427;22
2.69;21.7;25;1910;69.2;1904.8;21.4114406588258;1061.11172793373;22
2.86;22;25;1297;268.000000000004;1642;21.8070189167127;1102.10077093272;22
3.03;22.3;25;901;268.000000000004;1642;22.0641849464014;1115.0823360713;22
3.19;22.4;25;389;709.6;177.4;22.4503110676717;1109.68503389027;22
3.36;22.4;25;483;709.6;177.4;22.5029583869432;1085.71459357912;22
3.53;22.4;25;638;380.8;95.2;22.5429318619945;1069.31318671694;22
3.69;22.4;25;782;380.8;95.2;22.5591652599642;1060.19614322171;22
3.86;22.4;25;914;616.8;154.2;22.564335658184;1057.88596974563;22
4.03;22.5;25;1035;616.8;154.2;22.5662043040049;1061.78522248681;22
4.19;22.5;25;1035;816;204;22.6329428848794;1069.86238551264;22
4.36;22.5;25;1121;816;204;22.6568758463915;1078.36674934269;22
4.53;22.6;25;1143;884;221;22.7245008385845;1090.60405689532;22
4.69;22.6;25;1203;884;221;22.7561486479017;1103.10730750648;22
4.86;22.7;25;1217;962.4;240.6;22.8250551846141;1116.26262327036;22
5.03;22.8;25;1242;962.4;240.6;22.8810753778238;1129.67507076;22
5.19;22.8;25;1250;979.2;244.8;22.9450783529883;1143.70870354965;22
5.36;22.9;25.0084;1292;979.2;244.8;22.9871254821415;1158.46998447307;22
5.53;23;25.1086;1270;1019.2;254.8;23.0659744861242;1174.36847726479;22
5.69;23;25.2088;1257;1019.2;254.8;23.1442875402897;1188.12925626876;22
5.86;23.1;25.3084;1258;990.4;247.6;23.214244415969;1201.55309923962;22
6.03;23.1;25.4086;1192;990.4;247.6;23.2612964940217;1213.25750346464;22
6.19;23.3;25.5088;1241;1038.4;259.6;23.3580957386183;1227.30440452973;22
6.36;23.3;25.6084;1144;1038.4;259.6;23.4465699390594;1238.2744168232;22
6.53;23.5;25.7086;1164;986.4;246.6;23.5452031114615;1248.27375775462;22
6.69;23.5;25.8088;1094;986.4;246.6;23.6438627806358;1255.84076384108;22
6.86;23.7;25.909;1117;944;236;23.755154344207;1262.90173982208;22
7.03;23.7;26.0092;1051;944;236;23.8480778759018;1267.48804287725;22
7.19;23.9;26.1082;1063;914.4;228.6;23.959391794631;1272.00222798549;22
7.36;24;26.2084;1049;914.4;228.6;24.0736486212208;1274.81509748656;22
