Time[min];Time[min];Temperature[°C];Reference Temperature[°C];Power[W];Observer state Temperature[°C];Observer state Power[W];Observer state Ambient temperature[°C]
0,03;0,03;17,00;17,00;0,00;15,00;0,00;22,00
0,19;0,19;24,70;17,00;2000,00;20,24;101,80;22,00
0,36;0,36;24,90;17,00;2000,00;23,29;208,86;22,00
0,53;0,53;25,00;17,00;2000,00;24,40;301,80;22,00
0,69;0,69;25,30;17,00;2000,00;24,90;388,69;22,00
0,86;0,86;25,60;17,00;2000,00;25,23;463,43;22,00
1,03;1,03;26,00;17,00;2000,00;25,60;542,99;22,00
1,19;1,19;26,30;17,00;2000,00;26,00;620,50;22,00
1,36;1,36;26,70;17,00;2000,00;26,39;694,53;22,00
1,53;1,53;27,10;17,00;2000,00;26,79;766,21;22,00
1,69;1,69;27,50;17,00;2000,00;27,16;827,22;22,00
1,86;1,86;27,80;17,00;2000,00;27,58;893,83;22,00
2,03;2,03;28,30;17,00;2000,00;28,00;958,20;22,00
2,19;2,19;28,70;17,00;2000,00;28,40;1018,93;22,00
2,36;2,36;29,10;17,00;2000,00;28,82;1077,45;22,00
2,53;2,53;29,40;17,00;2000,00;29,22;1133,92;22,00
2,70;2,7;29,80;17,00;2000,00;29,57;1182,22;22,00
2,86;2,86;30,20;17,00;2000,00;29,96;1234,31;22,00
3,03;3,03;30,50;17,00;2000,00;30,37;1285,08;22,00
3,20;3,2;30,90;17,00;2000,00;30,78;1333,06;22,00
3,36;3,36;31,30;17,00;2000,00;31,13;1379,21;22,00
3,53;3,53;31,80;17,00;2000,00;31,54;1423,84;22,00
3,70;3,7;32,10;17,00;2000,00;31,91;1463,03;22,00
3,86;3,86;32,50;17,00;2000,00;32,30;1504,39;22,00
4,03;4,03;32,90;17,00;2000,00;32,71;1544,03;22,00
4,20;4,2;33,30;17,00;2000,00;33,10;1582,69;22,00
4,36;4,36;33,70;17,00;2000,00;33,52;1619,60;22,00
4,53;4,53;34,00;17,00;2000,00;33,92;1655,19;22,00
4,70;4,7;34,50;17,00;2000,00;34,27;1685,98;22,00
4,86;4,86;34,90;17,00;2000,00;34,70;1719,14;22,00
5,03;5,03;35,20;17,00;1500,00;35,07;1743,30;22,00
5,20;5,2;35,50;17,16;1500,00;35,46;1750,00;22,00
5,36;5,36;35,80;17,33;1500,00;35,75;1756,02;22,00
5,53;5,53;35,80;17,49;1500,00;35,95;1761,37;22,00
5,70;5,7;35,80;17,66;1500,00;36,01;1765,42;22,00
5,86;5,86;35,90;17,83;1500,00;36,04;1769,55;22,00
6,03;6,03;35,80;17,99;1500,00;36,06;1773,43;22,00
6,20;6,2;35,80;18,16;1500,00;36,06;1777,13;22,00
6,36;6,36;35,80;18,33;1500,00;36,06;1780,70;22,00
6,53;6,53;35,90;18,49;1500,00;36,08;1783,87;22,00
6,70;6,7;35,90;18,66;1500,00;36,11;1787,31;22,00
6,86;6,86;35,90;18,83;1500,00;36,14;1790,62;22,00
7,03;7,03;36,00;18,99;1500,00;36,15;1793,66;22,00
