Time[min];Temperature[°C];Power[W]
0.01;0.0;0.0
0.18;60.5;982.3076923076922
0.35;60.5;982.3076923076922
0.51;60.4;981.153846153846
0.68;60.3;979.9999999999998
0.85;60.3;979.9999999999998
1.01;60.3;979.9999999999998
1.18;60.3;979.9999999999998
1.35;60.3;979.9999999999998
1.51;60.3;979.9999999999998
1.68;60.2;978.8461538461538
1.85;60.3;979.9999999999998
2.01;60.2;978.8461538461538
2.18;60.2;978.8461538461538
2.35;60.2;978.8461538461538
2.51;60.3;979.9999999999998
2.68;60.2;978.8461538461538
2.85;60.3;979.9999999999998
3.02;60.3;979.9999999999998
3.18;60.3;979.9999999999998
3.35;60.3;979.9999999999998
3.52;60.4;981.153846153846
3.68;60.4;981.153846153846
3.85;60.5;982.3076923076922
4.02;60.5;982.3076923076922
4.18;60.5;982.3076923076922
4.35;60.6;983.4615384615383
4.52;60.6;983.4615384615383
4.68;60.6;983.4615384615383
4.85;60.7;984.6153846153845
5.02;60.7;984.6153846153845
5.18;60.8;985.7692307692305
5.35;60.8;985.7692307692305
5.52;60.8;985.7692307692305
5.68;60.9;986.9230769230767
5.85;61.0;988.0769230769229
6.02;61.0;988.0769230769229
6.18;61.1;989.230769230769
6.35;61.1;989.230769230769
6.52;61.3;991.5384615384614
6.68;61.3;991.5384615384614
6.85;61.4;992.6923076923076
7.02;61.4;992.6923076923076
7.18;61.5;993.8461538461538
7.35;61.5;993.8461538461538
7.52;61.6;994.9999999999998
7.68;61.7;996.153846153846
7.85;61.8;997.3076923076922
8.02;61.8;997.3076923076922
8.18;61.9;998.4615384615383
8.35;61.9;998.4615384615383
8.52;62.0;999.6153846153845
8.68;62.1;1000.7692307692307
8.85;62.1;1000.7692307692307
9.02;62.2;1001.9230769230769
9.18;64.3;1026.153846153846
9.35;66.5;1051.5384615384614
9.52;66.4;1050.3846153846152
9.69;66.4;1050.3846153846152
9.85;66.5;1051.5384615384614
10.02;66.5;1051.5384615384614
10.19;66.6;1052.6923076923076
10.35;66.6;1052.6923076923076
10.52;66.7;1053.8461538461538
10.69;66.7;1053.8461538461538
10.85;66.8;1054.9999999999998
11.02;66.8;1054.9999999999998
11.19;66.9;1056.1538461538462
11.35;66.9;1056.1538461538462
11.52;67.0;1057.3076923076922
11.69;67.0;1057.3076923076922
11.85;67.2;1059.6153846153845
12.02;67.2;1059.6153846153845
12.19;67.3;1060.7692307692307
12.35;67.3;1060.7692307692307
12.52;67.4;1061.923076923077
12.69;67.4;1061.923076923077
12.85;67.5;1063.0769230769229
13.02;67.6;1064.230769230769
13.19;67.7;1065.3846153846152
13.35;67.7;1065.3846153846152
13.52;68.9;1079.2307692307693
13.69;70.9;1102.3076923076924
13.85;70.8;1101.153846153846
14.02;70.6;1098.8461538461538
14.19;70.7;1100.0
14.35;70.7;1100.0
14.52;70.8;1101.153846153846
14.69;70.8;1101.153846153846
14.85;70.9;1102.3076923076924
15.02;71.0;1103.4615384615383
15.19;71.0;1103.4615384615383
15.35;71.1;1104.6153846153845
15.52;71.1;1104.6153846153845
15.69;71.2;1105.7692307692307
15.85;71.3;1106.923076923077
16.02;71.3;1106.923076923077
16.19;71.4;1108.076923076923
16.36;71.4;1108.076923076923
16.52;71.6;1110.3846153846152
16.69;71.6;1110.3846153846152
16.86;71.6;1110.3846153846152
17.02;71.6;1110.3846153846152
17.19;71.7;1111.5384615384614
17.36;71.8;1112.6923076923076
17.52;71.9;1113.8461538461538
17.69;71.9;1113.8461538461538
17.86;72.0;1115.0
18.02;72.1;2000.0
18.19;72.1;2000.0
18.36;72.4;2000.0
18.52;72.7;2000.0
18.69;73.1;2000.0
18.86;73.5;2000.0
19.02;73.8;2000.0
19.19;74.2;2000.0
19.36;74.5;2000.0
19.52;74.8;2000.0
19.69;75.2;2000.0
19.86;75.5;2000.0
20.02;75.9;2000.0
20.19;76.3;2000.0
20.36;76.5;2000.0
20.52;76.8;2000.0
20.69;77.1;2000.0
20.86;77.4;2000.0
21.02;77.8;2000.0
21.19;78.0;2000.0
21.36;78.3;2000.0
21.52;78.7;2000.0
21.69;78.9;2000.0
21.86;79.3;2000.0
22.02;79.5;2000.0
22.19;79.8;2000.0
22.36;80.1;2000.0
22.52;80.4;2000.0
22.69;80.6;2000.0
22.86;80.9;2000.0
23.02;81.2;2000.0
23.19;81.5;2000.0
23.36;81.7;2000.0
23.53;82.0;2000.0
23.69;82.2;2000.0
23.86;82.4;2000.0
24.03;82.7;2000.0
24.19;83.0;2000.0
24.36;83.3;2000.0
24.53;83.5;2000.0
24.69;83.8;2000.0
24.86;84.0;2000.0
25.03;84.3;2000.0
25.19;84.5;2000.0
25.36;84.7;2000.0
25.53;85.0;2000.0
25.69;85.3;2000.0
25.86;85.5;2000.0
26.03;85.7;2000.0
26.19;86.0;2000.0
26.36;86.3;2000.0
26.53;86.5;2000.0
26.69;86.7;2000.0
26.86;86.9;2000.0
27.03;87.2;2000.0
27.19;87.4;2000.0
27.36;87.6;2000.0
27.53;87.9;2000.0
27.69;88.2;2000.0
27.86;88.4;2000.0
28.03;88.6;2000.0
28.19;88.9;2000.0
28.36;89.1;2000.0
28.53;89.3;2000.0
28.69;89.5;2000.0
28.86;89.8;2000.0
29.03;90.0;2000.0
29.19;90.2;2000.0
29.36;90.4;2000.0
29.53;90.7;2000.0
29.69;90.9;2000.0
29.86;91.2;2000.0
30.03;91.3;2000.0
30.19;91.6;2000.0
30.36;91.8;2000.0
30.53;92.1;2000.0
30.7;92.3;2000.0
30.86;92.5;2000.0
31.03;92.8;2000.0
31.2;93.0;2000.0
31.36;93.2;2000.0
31.53;93.4;2000.0
31.7;93.6;2000.0
31.86;93.9;2000.0
32.03;94.1;2000.0
32.2;94.3;2000.0
32.36;94.6;2000.0
32.53;94.8;2000.0
32.7;95.0;2000.0
32.86;95.2;2000.0
33.03;95.4;2000.0
33.2;95.6;2000.0
33.36;95.8;2000.0
33.53;95.9;2000.0
33.7;96.1;2000.0
33.86;96.3;2000.0
34.03;96.5;2000.0
34.2;96.6;2000.0
34.36;96.8;2000.0
34.53;97.0;2000.0
34.7;97.0;2000.0
34.86;97.2;2000.0
35.03;97.2;2000.0
35.2;97.4;2000.0
35.36;97.4;2000.0
35.53;97.5;2000.0
35.7;97.5;2000.0
35.86;97.6;2000.0
36.03;97.6;2000.0
36.2;97.7;2000.0
36.36;97.7;2000.0
36.53;97.7;2000.0
36.7;97.8;1877.6923076923033
36.86;97.8;1877.6923076923033
37.03;97.7;2000.0
37.2;97.7;2000.0
37.37;97.7;2000.0
37.53;97.8;1877.6923076923033
37.7;97.7;2000.0
37.87;97.7;2000.0
38.03;97.7;2000.0
38.2;97.7;2000.0
38.37;97.7;2000.0
38.53;97.7;2000.0
38.7;97.7;2000.0
38.87;97.7;0.0
39.03;97.7;0.0
39.2;97.7;2000.0
