Time[min];Temperature[°C];Power[W];Observer state Temperature[°C];Observer state Power[W];Observer state Ambient temperature[°C]
0.01;0.0;0.0;15.0;0.0;22.0
0.18;19.9;0.0;16.308289798433044;30.60441941246334;22.0
0.34;19.9;0.0;18.542165581941447;46.11879698354703;22.0
0.51;19.9;0.0;19.44831436474371;48.76060173074881;22.0
0.68;19.9;0.0;19.752783404290128;48.35826939333586;22.0
0.84;19.9;0.0;19.856989447281602;46.992570551904635;22.0
1.01;19.9;0.0;19.901656747220873;45.3855235776989;22.0
1.18;20.0;0.0;19.924879531048063;43.739515037011344;22.0
1.34;20.0;0.0;19.951129791647304;42.17137648620328;22.0
1.51;20.0;0.0;19.967229951778773;40.6141441598813;22.0
1.68;19.9;0.0;19.946258508923286;39.086580539031836;22.0
1.84;19.9;0.0;19.92213336840182;37.43340890535041;22.0
2.01;19.9;0.0;19.913863314414673;35.93876014972713;22.0
2.18;19.9;0.0;19.910874321464433;34.52589024050211;22.0
2.34;19.9;0.0;19.925186429191967;33.25269473115719;22.0
2.51;19.9;0.0;19.91448345596147;31.906487585656606;22.0
2.68;19.9;0.0;19.910906760391967;30.76717531417949;22.0
2.84;19.9;0.0;19.909334336307374;29.559755180764924;22.0
3.01;19.9;0.0;19.908672753222188;28.403137184039938;22.0
3.18;19.9;0.0;19.90832821649072;27.292468890519803;22.0
3.34;19.9;0.0;19.908096719148904;26.223956118356735;22.0
3.51;19.9;0.0;19.907908981739656;25.19969523873931;22.0
3.68;19.9;0.0;19.907739679085115;24.211901400165168;22.0
3.84;19.9;0.0;19.911939477475855;23.288364193162984;22.0
4.01;19.9;0.0;19.909109647212038;22.45205565436378;22.0
4.18;19.9;0.0;19.907870576111122;21.565464537736247;22.0
4.34;19.9;0.0;19.907355866007997;20.716448171012942;22.0
4.51;19.9;0.0;19.907092798747534;19.900465040240647;22.0
4.68;19.9;0.0;19.906919671994284;19.117033986105277;22.0
4.84;19.9;0.0;19.90678071454167;18.365302400961124;22.0
5.01;19.9;0.0;19.906656174689065;17.641040441437017;22.0
5.18;19.9;0.0;19.906539639818252;16.944868601662925;22.0
5.34;19.9;0.0;19.906439530875925;16.340743617895487;22.0
5.51;19.9;0.0;19.906332777958305;15.694289859168723;22.0
5.68;19.9;0.0;19.90623016530081;15.07206775536124;22.0
5.84;19.9;0.0;19.935100725896984;14.616428443060585;22.0
6.01;19.9;0.0;19.921286550236164;13.969089896389562;22.0
6.18;19.9;0.0;19.91117425491912;13.36482421916118;22.0
6.34;19.9;0.0;19.90765024636267;12.815907410340897;22.0
6.51;19.9;0.0;19.906465898988174;12.349945726809862;22.0
6.68;19.9;0.0;19.905934598203658;11.854612385392164;22.0
6.84;19.9;0.0;19.905702146739024;11.379908870383034;22.0
7.01;19.9;0.0;19.905574040286098;10.923698261622022;22.0
7.18;19.9;0.0;19.91455248466325;10.530442306915512;22.0
