Time[min];Temperature[°C];Power[W];Observer state Temperature[°C];Observer state Power[W];Observer state Ambient temperature[°C];
0.03;17;15;0;15;0;22
0.19;17.0132399875494;15;1500;16.2134976225589;75.7506898913958;22
0.36;17.0406297582579;15;1500;16.7616256998824;155.74444465833;22
0.53;17.0806545097696;15;1500;16.9833426939273;231.981494254281;22
0.69;17.1318349363074;15;1500;17.0970178928546;304.764480042132;22
0.86;17.1941996935373;15;1500;17.1824469441755;375.019797326189;22
1.03;17.2672302688578;15;1500;17.2632822440228;441.765054100176;22
1.19;17.3500761402544;15;1500;17.3405584821911;499.97736098558;22
1.36;17.4432522626509;15;1500;17.4339279764745;562.01659652736;22
1.53;17.5458877247644;15;1500;17.536039207474;621.731706600856;22
1.69;17.6566702846148;15;1500;17.6507779147857;679.896398239101;22
1.86;17.7761127036336;15;1500;17.7751167695699;736.823075798963;22
2.03;17.9045728686077;15;1500;17.9048095961705;790.0051079584;22
2.19;18.0402870742765;15;1500;18.0417297394586;841.187776241017;22
2.36;18.1845593196969;15;1500;18.1850644143212;889.969636324731;22
2.53;18.3362257353268;15;1500;18.3216577355362;932.455286921296;22
2.7;18.4938697572676;15;1500;18.4824171919188;977.867759707603;22
2.86;18.6589063292953;15;1500;18.6507632567429;1020.68949532768;22
3.03;18.8303745778502;15;1500;18.8236396456632;1061.93641026524;22
3.2;19.0068188141333;15;1500;19.0002017694152;1100.86425812458;22
3.36;19.1898307619171;15;1451;19.186569259974;1135.4435974818;22
3.53;19.377035598666;15;1236;19.3793167220929;1157.90255537729;22
3.7;19.5666515087647;15;1037;19.5497568950997;1168.24996317084;22
3.86;19.7558538080111;15;873;19.7375653583605;1170.93291740528;22
4.03;19.9456070232801;15;731;19.9281529402795;1166.08487946485;22
4.2;20.1337744795477;15;607;20.1213749232378;1155.08094452176;22
4.36;20.3194415926318;15;503;20.3109601433144;1138.83191519263;22
4.53;20.5007625632579;15;418;20.495296552203;1118.39898843299;22
4.7;20.6794397446243;15;345;20.6771885886996;1094.87424073848;22
4.86;20.8539708359927;15;287;20.8555793565613;1068.91012401668;22
5.03;21.0239383030515;15;235;21.0092871044401;1044.12822507967;22
5.2;21.1891342457681;15.157;192;21.1735782290405;1015.69987992524;22
5.36;21.3495495014911;15.324;154;21.3373901524588;986.26883666752;22
5.53;21.5040803222069;15.49;121;21.4970164795624;955.816758639901;22
5.7;21.6535535745496;15.657;96;21.6468932534463;925.614182238197;22
5.86;21.7979507529111;15.824;76;21.793385989078;894.897105817045;22
6.03;21.938210639804;15.991;59;21.9352231425304;864.61912579247;22
6.2;22.0736061801405;16.157;42;22.0719156066554;835.194454617097;22
6.36;22.2032665028261;16.324;30;22.2044802060009;805.432730442691;22
6.53;22.3287956456078;16.491;21;22.3175290142282;779.310936156192;22
6.7;22.4495481410244;16.656;14;22.4388219965469;750.921820842219;22
6.86;22.5658516934925;16.823;4;22.5584746330131;723.413353855866;22
7.03;22.677649044975;16.99;0;22.6726882042781;696.352588781568;22
7.2;22.7850278336204;17.157;0;22.7799882902567;670.466532120016;22
7.36;22.8875381096831;17.323;0;22.8832178245669;645.39187655086;22
7.53;22.9865970368244;17.49;0;22.9837296317409;620.973817791507;22
7.7;23.0818076692173;17.657;0;23.0817012112007;597.486904468158;22
7.86;23.1726780595073;17.823;0;23.1730891191496;575.275506051755;22
8.03;23.260441236278;17.99;0;23.2525756042555;555.774684712209;22
8.2;23.3441963911294;18.157;0;23.3381193954268;534.746586016295;22
8.36;23.4251582090114;18.324;0;23.4210827551304;514.637837615416;22
8.53;23.5028636851295;18.49;0;23.4989997126314;495.50669715331;22
8.7;23.5774223030552;18.657;0;23.5742401434831;476.867820821366;22
8.86;23.6489644355837;18.824;0;23.6467659450506;458.825451445312;22
9.03;23.7172961617951;18.99;0;23.7173081308265;441.67528749514;22
9.2;23.7828327511147;19.158;0;23.7837583666966;425.061672927986;22
9.36;23.846032167715;19.323;0;23.8411956897301;410.463452047645;22
9.53;23.9067233142677;19.49;0;23.903185895424;395.118785571278;22
9.7;23.9649187559097;19.657;0;23.9624135045066;380.25858720504;22
9.86;24.0203667642445;19.823;0;24.0182378843453;366.0374537822;22
10.03;24.0738318914782;19.99;0;24.0716695564676;352.347814647626;22
10.2;24.125074775276;20.157;0;24.1233136271518;339.093804703058;22
10.36;24.173952326634;20.323;0;24.1736949305322;326.418411698773;22
10.53;24.2207745265117;20.491;0;24.2213036944899;314.140856951361;22
10.7;24.2658727807891;20.658;0;24.2619412974705;303.491041594405;22
10.86;24.3095848256232;20.825;0;24.3060765443051;292.009767593354;22
11.03;24.3504763596734;20.991;0;24.3484893178417;281.028750142963;22
11.2;24.3898617547037;21.158;0;24.3883358983286;270.519652693783;22
11.36;24.4277720080442;21.325;0;24.4262353006496;260.402453347405;22
11.53;24.4640289576864;21.492;0;24.4626357435169;250.606344239342;22
11.7;24.498753444633;21.658;0;24.4981016443127;241.237868495663;22
11.86;24.5317649896085;21.825;0;24.5318760583063;232.165196908353;22
12.03;24.5635078409248;21.99;0;24.5636656407524;223.483062776212;22
12.2;24.5938288801336;22.157;0;24.5914171757917;215.80896033405;22
12.36;24.6228344846888;22.324;0;24.6210840141869;207.741158406064;22
12.53;24.6503718959187;22.49;0;24.6491231449883;199.973538143536;22
12.7;24.6768025264655;22.657;0;24.6757857022332;192.406824964717;22
