Time[min];Temperature[°C];Reference Temperature[°C];Power[W];Observer state Temperature[°C];Observer state Power[W];Observer state Ambient temperature[°C]
0.03;17.0;20.0;0.0;15.0;0.0;22.0
0.19;17.04559094170231;20.0;503.1412400602525;16.151100052347513;69.29545248643826;22.0
0.36;17.1731829580216;20.0;983.2141650108633;16.793579785227386;150.9093332340923;22.0
0.53;17.375604062791606;20.0;1431.0528823183288;17.131281304514104;228.341280252487;22.0
0.69;17.61851222182025;20.0;1500.0;17.40959055141891;301.6548868077794;22.0
0.86;17.864714136244014;20.0;1500.0;17.6518894675172;367.1510121807703;22.0
1.03;18.110475867674353;20.0;1500.0;17.92257467627114;437.85981842841375;22.0
1.19;18.355798234622913;20.071;1500.0;18.183136486359306;503.096967533576;22.0
1.36;18.59921690429641;20.154;1500.0;18.443312263827526;566.2037323624812;22.0
1.53;18.845128031265013;20.2375;1500.0;18.672610032701588;620.8697925781644;22.0
1.7;19.087677190204367;20.321;1500.0;18.935506846755654;680.7776865555331;22.0
1.86;19.331252549796748;20.4045;1500.0;19.194934976028218;737.5123019199743;22.0
2.03;19.574392469216274;20.4875;1500.0;19.451530383696827;790.512741579872;22.0
2.2;19.815645611621058;20.571;1500.0;19.703827163156557;840.3477899571676;22.0
2.36;20.057919533978385;20.6545;1500.0;19.93707321261879;884.8672845056512;22.0
2.53;20.299760342744566;20.738;1500.0;20.191074343276732;925.5751304871823;22.0
2.7;20.53828009913985;20.821;1500.0;20.43895996984421;949.3596592091938;22.0
2.86;20.780703894431753;20.9045;1500.0;20.69216682053358;959.6040365592685;22.0
3.03;21.021252518347147;20.9875;1500.0;20.912936015523012;958.9797050084098;22.0
3.2;21.26137111299097;21.0715;1500.0;21.16126721152961;949.4770737124597;22.0
3.36;21.50106041636787;21.154;1500.0;21.404484892686416;932.3559328024968;22.0
3.53;21.741752764435347;21.2375;1500.0;21.643222558473177;909.2677688892603;22.0
3.7;21.97915435585854;21.3215;1500.0;21.862805312549206;884.3284089020432;22.0
3.86;22.21898679340051;21.404;1500.0;22.097929593464748;853.4783751059164;22.0
4.03;22.45508569505402;21.4875;1471.6472093988411;22.33775369398269;821.7230978814881;22.0
4.2;22.67279776117115;21.5715;1294.0568407311666;22.57068546711366;790.9589292907335;22.0
4.36;22.862839842906624;21.654;1099.2194498828546;22.78022531997832;761.6296482295045;22.0
4.53;23.019811436135722;21.7375;890.7375814298775;22.96648928903926;733.1437608109663;22.0
4.7;23.140077939873905;21.821;672.2662707106099;23.106054803504144;708.4753860994065;22.0
4.86;23.227194534295805;21.9045;450.082228851089;23.227948334600924;681.4118298100201;22.0
5.03;23.27844756166995;21.9875;233.83520151693142;23.31308815639896;655.8341202736691;22.0
5.2;23.296100643627472;22.071;26.535600256046045;23.36306597459132;631.0604150267209;22.0
5.36;23.29400230480219;22.1545;0.003327719731132106;23.381287889024314;606.9357705284827;22.0
5.53;23.291675090543876;22.238;0.003736991864649042;23.383549317347413;583.3883848128878;22.0
5.7;23.289352061840518;22.3215;0.0;23.38081953396387;563.3342123388303;22.0
