Time[min];Temperature[°C];Reference Temperature[°C];Power[W];Power Heater[W];Power Coil[W];Observer state Temperature[°C];Observer state Power[W];Observer state Ambient temperature[°C]
0.02;20.0;25.0;0.0;0.0;0.0;15.0;0.0;22.0
0.19;20.0;25.0;2000.0;0.0;0.0;17.880709498612493;81.77323529750603;22.0
0.36;20.0;25.0;2000.0;0.0;0.0;19.295471344812675;181.56761415445527;22.0
0.52;20.3;25.0;2000.0;0.0;2000.0;19.902500796634026;273.0544856371206;22.0
0.69;20.6;25.0;2000.0;0.0;2000.0;20.314321715534003;359.5840272274872;22.0
0.86;20.9;25.0;2000.0;0.0;2000.0;20.65015580082999;435.32345862312974;22.0
1.02;21.3;25.0;2000.0;0.0;2000.0;20.98843871073125;515.763339821896;22.0
1.19;21.6;25.0;1958.0;0.0;2000.0;21.324859639760138;593.1578818613777;22.0
1.36;21.9;25.0;1915.0;0.0;2000.0;21.651680094037715;665.669579539056;22.0
1.52;22.1;25.0;1881.0;252.0000000000033;1662.9999999999968;21.941194338528724;734.195571834345;22.0
1.69;22.5;25.0;1438.0;252.0000000000033;1662.9999999999968;22.260690885827863;789.8050013857408;22.0
1.86;22.5;25.0;993.0;1150.4;287.59999999999997;22.5006854638902;818.3958541238054;22.0
2.02;22.8;25.0;773.0;1150.4;287.59999999999997;22.68474823771525;831.0447114399268;22.0
2.19;22.9;25.0;527.0;618.4000000000001;154.60000000000002;22.87221765980631;830.9609550180087;22.0
2.36;23.0;25.0;343.0;618.4000000000001;154.60000000000002;23.0372517032676;820.7121139549806;22.0
2.52;23.1;25.0;317.0;270.40000000000003;67.60000000000002;23.126461716128098;807.0431345728425;22.0
2.69;23.1;25.0;281.0;270.40000000000003;67.60000000000002;23.191387003226797;790.6348718909097;22.0
2.86;23.2;25.0;269.0;224.79999999999998;56.20000000000001;23.258285976073623;774.1290856197311;22.0
3.02;23.2;25.0;358.0;224.79999999999998;56.20000000000001;23.298188357765717;759.3699218396447;22.0
3.19;23.3;25.0;479.0;286.40000000000003;71.60000000000001;23.345261873352698;750.7618081451687;22.0
3.36;23.3;25.0;507.0;286.40000000000003;71.60000000000001;23.39172482312245;745.6673944687379;22.0
3.52;23.4;25.0;607.0;405.6;101.4;23.434407136653068;743.9957865141047;22.0
3.69;23.4;25.0;585.0;405.6;101.4;23.4872951125335;744.2538035076439;22.0
3.86;23.5;25.0;510.0;468.0;117.0;23.55256624905357;743.7382377123783;22.0
4.02;23.6;25.0;384.0;468.0;117.0;23.650362275344747;736.6969652746216;22.0
4.19;23.7;25.0;557.0;307.20000000000005;76.80000000000001;23.698861025280163;730.4225682636641;22.0
4.36;23.7;25.0;631.0;307.20000000000005;76.80000000000001;23.773934799309203;730.3085685334929;22.0
4.52;23.8;25.0;818.0;502.40000000000003;125.6;23.8096454340697;735.6279083024675;22.0
4.69;23.8;25.0;846.0;502.40000000000003;125.6;23.879669155830165;747.269153643289;22.0
4.86;23.9;25.0;871.0;669.6;167.4;23.956440870616905;761.1740539463824;22.0
5.02;24.0;25.0;818.0;669.6;167.4;24.053777602747065;772.213351955701;22.0
5.19;24.1;25.087;791.0;647.2;161.8;24.149166202921357;781.8779721968652;22.0
5.36;24.2;25.1872;735.0;647.2;161.8;24.258993422134782;788.783151930416;22.0
5.52;24.4;25.2874;725.0;582.4;145.6;24.35791094949831;793.7373868236177;22.0
5.69;24.4;25.387;700.0;582.4;145.6;24.461744021704593;796.8861229702203;22.0
5.86;24.6;25.4872;731.0;555.1999999999999;138.79999999999998;24.549902178588926;800.3671867563314;22.0
6.02;24.6;25.5874;697.0;555.1999999999999;138.79999999999998;24.659659774544682;803.57296621912;22.0
6.19;24.7;25.6864;761.0;552.8000000000001;138.20000000000002;24.73577038333128;807.0633162865;22.0
6.36;24.8;25.7866;702.0;552.8000000000001;138.20000000000002;24.85063136140355;811.3388790403545;22.0
6.52;24.9;25.8868;730.0;556.8000000000002;139.20000000000002;24.89603488921065;814.0900546739695;22.0
6.69;25.0;25.9876;779.0;556.8000000000002;139.20000000000002;25.006922539508267;821.1424973148922;22.0
6.86;25.1;26.0872;736.0;601.5999999999999;150.4;25.085774450877604;826.2945383386655;22.0
7.03;25.2;26.186799999999998;775.0;601.5999999999999;150.4;25.174081852809948;833.0174549871965;22.0
7.19;25.2;26.287;769.0;612.8000000000001;153.20000000000002;25.27087141420284;839.3699100722127;22.0
7.36;25.3;26.3872;752.0;612.8000000000001;153.20000000000002;25.36988735168517;844.8983807612574;22.0
7.53;25.4;26.4874;738.0;594.4;148.60000000000002;25.46929341252005;849.4376065439554;22.0
7.69;25.5;26.587;725.0;594.4;148.60000000000002;25.569395655878235;853.1335720809252;22.0
7.86;25.6;26.6872;769.0;573.5999999999999;143.4;25.65558275074545;857.330327166643;22.0
8.03;25.7;26.7874;716.0;573.5999999999999;143.4;25.765677843799242;861.26117355054;22.0
8.19;25.8;26.887;836.0;567.1999999999999;141.79999999999998;25.835315145570036;865.1378772035774;22.0
8.36;25.9;26.9872;733.0;567.1999999999999;141.79999999999998;25.947262184657934;870.5940981122058;22.0
8.53;26.0;27.0874;816.0;573.5999999999999;143.4;26.002630937848696;873.4243194464398;22.0
8.69;26.1;27.1876;797.0;573.5999999999999;143.4;26.121477676642407;879.7074159595312;22.0
8.86;26.1;27.2878;811.0;621.6;155.4;26.194427991342273;883.8322723328166;22.0
9.03;26.3;27.3868;840.0;621.6;155.4;26.30216935598574;890.0389101767663;22.0
9.19;26.3;27.487;800.0;662.4000000000001;165.60000000000002;26.389020566771514;894.7437869015911;22.0
